id,title,description,content_rating,budget,genres,runtime_minutes,num_votes
tt0338013,Eternal Sunshine of the Spotless Mind,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",R,20000000.0,"['Drama', 'Romance', 'Sci-Fi']",108,1175960
tt0053604,The Apartment,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",Approved,3000000.0,"['Comedy', 'Drama', 'Romance']",125,217974
tt0056172,Lawrence of Arabia,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",Approved,15000000.0,"['Adventure', 'Biography', 'Drama']",227,340100
tt0062622,2001: A Space Odyssey,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",G,12000000.0,"['Adventure', 'Sci-Fi']",149,778469
tt0113277,Heat,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,R,60000000.0,"['Action', 'Crime', 'Drama']",170,796045
tt0105236,Reservoir Dogs,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",R,1200000.0,"['Crime', 'Thriller']",99,1164809
tt0086250,Scarface,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction.",R,50000000.0,"['Crime', 'Drama']",170,1008218
tt0036775,Double Indemnity,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",Approved,927262.0,"['Crime', 'Drama', 'Film-Noir']",107,180423
tt1049413,Up,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.",PG,175000000.0,"['Adventure', 'Animation', 'Comedy']",96,1227171
tt0053125,North by Northwest,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Approved,3101000.0,"['Adventure', 'Drama', 'Mystery']",136,368457
tt0986264,Taare Zameen Par,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,PG,,"['Drama', 'Family']",162,230551
tt0093058,Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,R,30000000.0,"['Drama', 'War']",116,846687
tt0022100,M - Eine Stadt sucht einen Mörder,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Passed,,"['Crime', 'Mystery', 'Thriller']",99,182086
tt0033467,Citizen Kane,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",PG,839727.0,"['Drama', 'Mystery']",119,492032
tt0211915,Le fabuleux destin d'Amélie Poulain,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",R,10000000.0,"['Comedy', 'Romance']",122,836479
